product number,productimagename,product name,product details,product quantity,product price
1,Capture.JPG,little flowers bouquet💖💐🌷,little flowers bouquet💖💐🌷,8,18900
2,Capture2.JPG,नाजूक गुलाबी रंगाची मोहकता आणि हाताने केलेली सुंदर कलाकुसर ✨,नाजूक गुलाबी रंगाची मोहकता आणि हाताने केलेली सुंदर कलाकुसर ✨,5,12400
3,Capture3.JPG,🌸💗 गौराईच्या आगमनासाठी खास… गौराईच्या सजावटीसाठी खास हार! 💗🌸नाजूक गुलाबी रंगाची मोहकता आणि हाताने केलेली सुंदर कलाकुसर ✨गौराईच्या रूपाला खुलवणारा हा युनिक हँडमेड हार 🌺🙏💗 प्रेमाने तयार केलेला • युनिक • खास तुमच्या गौराईसाठी,🌸💗 गौराईच्या आगमनासाठी खास… गौराईच्या सजावटीसाठी खास हार! 💗🌸,3,900
4,Capture4.JPG,🌼✨ Most-selling sunflower handmade bouquet! ✨🌼,🌼✨ Most-selling sunflower handmade bouquet! ✨🌼,8,800
5,Capture5.JPG,Preety little flowers bouquet💖💐🌷,flowers,5,600
